ACT_Actions,PK_ACT_Actions,NULL,ACT_cKey
DME_DayMeasures,PK_DME_DayMeasures,FK_DME_DayMeasures_USE_Users,DME_cID
DowntimeType,PK_DowntimeType,FK_DowntimeType_CLI_Clients,DowntimeTypeId
DowntimeType,PK_DowntimeType,FK_DowntimeType_PLI_ProductionLines,DowntimeTypeId
DTH_DeviceThumbnails,PK_DTH_DeviceThumbnails,FK_DTH_DeviceThumbnails_DEV_Devices,DTH_cID
DVI_DeviceVideos,PK_DVI_DeviceVideo,FK_DVI_DeviceVideo_DEV_Devices,DVI_cID
EMP_Employees,PK_EMP_Employee,FK_EMP_Employees_EMT_EmployeeTitle,EMP_cID
EMP_Employees,PK_EMP_Employee,FK_EMP_Employee_CLI_Clients,EMP_cID
EMP_Employees,PK_EMP_Employee,FK_EMP_Employees_OPE_Operations,EMP_cID
EMP_Employees,PK_EMP_Employee,FK_EMP_Employees_PLI_ProductionLines,EMP_cID
EmployeeCount,PK_EmployeeCount,FK_EmployeeCount_PLI_ProductionLines,EmployeeCountId
EmployeeSalary,PK_EmployeeSalary,FK_EmployeeSalary_EMP_Employees,EmployeeSalaryId
EMT_EmployeeTitle,PK_EMT_EmployeeTitle,FK_EMT_EmployeeTitle_CLI_Clients,EMT_cID
ENO_EmployeeNotes,PK_ENO_EmployeeNotes,FK_ENO_EmployeeNotes_USE_Users,ENO_iID
ENO_EmployeeNotes,PK_ENO_EmployeeNotes,FK_ENO_EmployeeNotes_EMP_Employees,ENO_iID
EPA_EmployeePauses,PK_EPA_EmployeePauses,FK_EPA_EmployeePauses_EMP_Employees,EPA_cID
EPA_EmployeePauses,PK_EPA_EmployeePauses,FK_EPA_EmployeePauses_EPR_EmployeeProductions,EPA_cID
EPR_EmployeeProductions,PK_EPR_EmployeeProductions,FK_EPR_EmployeeProductions_EMP_Employees,EPR_cID
EPR_EmployeeProductions,PK_EPR_EmployeeProductions,FK_EPR_EmployeeProductions_OPE_Operations,EPR_cID
EstimationForm,PK_EstimationForm,NULL,EstimationFormId
ETE_EmployeeTimeEvents,PK_ETE_EmployeeTimeEvents,FK_ETE_EmployeeTimeEvents_EMP_Employees,ETE_cID
ETE_EmployeeTimeEvents,PK_ETE_EmployeeTimeEvents,FK_ETE_EmployeeTimeEvents_OPE_Operations,ETE_cID
ETE_EmployeeTimeEvents,PK_ETE_EmployeeTimeEvents,FK_ETE_EmployeeTimeEvents_PLI_ProductionLines,ETE_cID
ETP_EmployeeTimePauses,PK_ETP_EmployeeTimePauses,FK_ETP_EmployeeTimePauses_ETE_EmployeeTimeEvents,ETP_cID
Event,PK_Event,NULL,EventId
FDA_FormData,PK_FDA_FormData,FK_FDA_FormData_CLI_Clients,FDA_cID
FDA_FormData,PK_FDA_FormData,FK_FDA_FormData_PLI_ProductionLines,FDA_cID
FDT_FormDataTables,PK_FDT_FormDataTables,FK_FDT_FormDataTables_CLI_Clients,FDT_cID
FDV_FormDefinitionVersions,PK_FDV_FormDefinitionVersions,FK_FDV_FormDefinitionVersions_FOD_FormDefinitions,FDV_cID
FieldType,PK__FieldTyp__74418AE259063A47,NULL,FieldTypeId
FOD_FormDefinitions,PK_FOD_FormDefinitions,FK_FOD_FormDefinitions_CLI_Clients,FOD_cID
GRO_Groups,PK_GRO_Groups,NULL,GRO_cID
HFD_HistoryFormDefinitionVersions,PK_HFD_HistoryFormDefinitionVersions,NULL,HFD_iNoSeq
HME_HistoryMeasures,PK_HME_HistoryMeasures,FK_HME_HistoryMeasures_PRD_Products,HME_iID
HME_HistoryMeasures,PK_HME_HistoryMeasures,FK_HME_HistoryMeasures_TSI_TimeShifts,HME_iID
HME_HistoryMeasures,PK_HME_HistoryMeasures,FK_HME_HistoryMeasures_MDE_MeasureDefinitions,HME_iID
HME_HistoryMeasures,PK_HME_HistoryMeasures,FK_HME_HistoryMeasures_PLI_ProductionLines,HME_iID
HNO_HistoryNotifications,PK_HNO_HistoryNotifications,FK_HNO_HistoryNotifications_NOT_Notifications,HNO_cID
HPR_HistoryProducts,PK_HPR_HistoryProducts,FK_HPR_HistoryProducts_PRD_Products,HPR_cID
JAL_JobAgentLogs,PK_JAL_JobAgentLog,FK_JAL_JobAgentLog_JAT_JobAgentTask,JAL_cID
JAL_JobAgentLogs,PK_JAL_JobAgentLog,FK_JAL_JobAgentLogs_FDV_FormDefinitionVersions,JAL_cID
JAT_JobAgentTasks,PK_JAT_JobAgentTask,FK_JAT_JobAgentTask_CLI_Clients,JAT_cID
JAT_JobAgentTasks,PK_JAT_JobAgentTask,FK_JAT_JobAgentTask_MDE_MeasureDefinitions,JAT_cID
JTT_JobAgentTypes,PK_JTT_JobAgentTypes,NULL,JTT_cID
Kit,PK_Kit,FK_Kit_KitTemplate,KitId
Kit,PK_Kit,FK_Kit_PLI_ProductionLines,KitId
KitAttributeValue,PK_KitAttributeValue,FK_KitAttributeValue_Kit,KitAttributeValueId
KitAttributeValue,PK_KitAttributeValue,FK_KitAttributeValue_KitTemplateAttribute,KitAttributeValueId
KitTemplate,PK_KitTemplate,NULL,KitTemplateId
KitTemplateAttribute,PK_KitTemplateAttribute,FK_KitTemplateAttribute_KitTemplate,KitTemplateAttributeId
Logg,PK_Log,NULL,LogId
ManagementParameter,PK_ManagementParameter,FK_ManagementParameter_FieldType,ManagementParameterId
ManagementParameter,PK_ManagementParameter,FK_ManagementParameter_PLI_ProductionLines,ManagementParameterId
ManagementParameterValue,PK_ManagementParameterValue,FK_ManagementParameterValue_ManagementParameter,ManagementParameterValueId
MDE_MeasureDefinitions,PK_MDE_MeasureDefinitions,FK_MDE_MeasureDefinitions_PRD_Products,MDE_cID
MDE_MeasureDefinitions,PK_MDE_MeasureDefinitions,FK_MDE_MeasureDefinitions_SDE_StandardDefinitions,MDE_cID
MDE_MeasureDefinitions,PK_MDE_MeasureDefinitions,FK_MDE_MeasureDefinitions_USE_Users,MDE_cID
MDE_MeasureDefinitions,PK_MDE_MeasureDefinitions,FK_MDE_MeasureDefinitions_ProductionGroups,MDE_cID
MDE_MeasureDefinitions,PK_MDE_MeasureDefinitions,FK_MDE_MeasureDefinitions_CAT_Categories,MDE_cID
MDE_MeasureDefinitions,PK_MDE_MeasureDefinitions,FK_MDE_MeasureDefinitions_CLI_Clients,MDE_cID
MDE_MeasureDefinitions,PK_MDE_MeasureDefinitions,FK_MDE_MeasureDefinitions_CSE_ClientSensors1,MDE_cID
MDE_MeasureDefinitions,PK_MDE_MeasureDefinitions,FK_MDE_MeasureDefinitions_DEV_Devices,MDE_cID
MDE_MeasureDefinitions,PK_MDE_MeasureDefinitions,FK_MDE_MeasureDefinitions_FOD_FormDefinitions,MDE_cID
MDE_MeasureDefinitions,PK_MDE_MeasureDefinitions,FK_MDE_MeasureDefinitions_Kit,MDE_cID
MDE_MeasureDefinitions,PK_MDE_MeasureDefinitions,FK_MDE_MeasureDefinitions_MET_MeasureTemplates1,MDE_cID
MDE_MeasureDefinitions,PK_MDE_MeasureDefinitions,FK_MDE_MeasureDefinitions_PLI_ProductionLines,MDE_cID
MEA_Measures,PK_MEA_Measures,FK_MEA_Measures_CSE_ClientSensors,MEA_cID
MEA_Measures,PK_MEA_Measures,FK_MEA_Measures_MDE_MeasureDefinitions,MEA_cID
MEA_Measures,PK_MEA_Measures,FK_MEA_Measures_PLB_ProductionLineBatches,MEA_cID
MEA_Measures,PK_MEA_Measures,FK_MEA_Measures_PRD_Products,MEA_cID
MET_MeasureTemplates,PK_MET_MeasureTemplates,NULL,MET_cID
NCH_NewsChannel,PK_NCH,FK_NCH_News_Channel_CLI_Clients,NCH_cID
NCL_NewsChannelLanguage,PK_NCL,FK_NCL_News_Channel_Language_NCH_News_Channel,NCL_cID
NEM_NotificationEventMinMax,PK_NEM_NotificationEventMinMax,FK_NEM_NotificationEventMinMax_COM_Comments,NEM_cID
NEM_NotificationEventMinMax,PK_NEM_NotificationEventMinMax,FK_NEM_NotificationEventMinMax_NOT_Notifications,NEM_cID
NEM_NotificationEventMinMax,PK_NEM_NotificationEventMinMax,FK_NEM_NotificationEventMinMax_PLB_ProductionLineBatches,NEM_cID
NEV_NotificationEvents,PK_NEV_NotificationEvents,FK_NEV_NotificationEvents_NOT_Notifications,NEV_cID
NFE_NewsFeed,PK_NFE,FK_NFE_News_Feed_NCH_News_Channel,NFE_cID
NFL_NewsFeedLangage,PK_NFL,FK_NFL_News_Feed_Langage_NFE_News_Feed,NFL_cID
NOT_Notifications,PK_NOT_Notifications,FK_NOT_Notifications_MDE_MeasureDefinitions,NOT_cId
NOT_Notifications,PK_NOT_Notifications,FK_NOT_Notifications_PLI_ProductionLines,NOT_cId
NOT_Notifications,PK_NOT_Notifications,FK_NOT_Notifications_USE_Users,NOT_cId
OPE_Operations,PK_OPE_Operations,FK_OPE_Operation_PLI_ProductionLines,OPE_cID
OPE_Operations,PK_OPE_Operations,FK_OPE_Operations_CLI_Clients,OPE_cID
PLB_ProductionLineBatches,PK_PLB_ProductionLineBatches,FK_PLB_ProductionLineBatches_PLI_ProductionLines1,PLB_cID
PLB_ProductionLineBatches,PK_PLB_ProductionLineBatches,FK_PLB_ProductionLineBatches_PRD_Products1,PLB_cID
PLB_ProductionLineBatches,PK_PLB_ProductionLineBatches,FK_PLB_ProductionLineBatches_USE_Users1,PLB_cID
PLI_ProductionLines,PK_PLI_ProductionLines,FK_PLI_ProductionLines_CLI_Clients,PLI_cID
PRD_Products,PK_PRD_Products,FK_PRD_Products_CLI_Clients,PRD_cID
PRD_Products,PK_PRD_Products,FK_PRD_Products_PLI_ProductionLines,PRD_cID
PRE_Preferences,PK_PRE_Preferences,FK_PRE_Preferences_CLI_Clients,PRE_cId
PRE_Preferences,PK_PRE_Preferences,FK_PRE_Preferences_PLI_ProductionLines,PRE_cId
PRE_Preferences,PK_PRE_Preferences,FK_PRE_Preferences_USE_Users,PRE_cId
ProductionGroupProductionLines,PK_ProductionGroupProductionLines,FK_ProductionGroupProductionLines_PLI_ProductionLines,ProductionGroupProductionLineId
ProductionGroupProductionLines,PK_ProductionGroupProductionLines,FK_ProductionGroupProductionLines_ProductionGroups,ProductionGroupProductionLineId
ProductionGroups,PK_ProductionGroup,FK_ProductionGroups_CLI_Clients,ProductionGroupId
ProductionGroupStandardDefinition,PK_ProductionGroupStandardDefinition,FK_ProductionGroupStandardDefinition_FieldType,ProductionGroupStandardDefinitionId
ProductionGroupStandardDefinition,PK_ProductionGroupStandardDefinition,FK_ProductionGroupStandardDefinition_CLI_Clients,ProductionGroupStandardDefinitionId
ProductionGroupStandardValue,PK_ProductionGroupStandardValue,FK_ProductionGroupStandardValue_ProductionGroups,ProductionGroupStandardValueId
ProductionGroupStandardValue,PK_ProductionGroupStandardValue,FK_ProductionGroupStandardValue_ProductionGroupStandardDefinition,ProductionGroupStandardValueId
ProductProperty,PK_ProductProperty,FK_ProductProperty_FieldType,ProductPropertyId
ProductPropertyValue,PK_ProductPropertyValue,FK_ProductPropertyValue_PRD_Products,ProductPropertyValueId
ProductPropertyValue,PK_ProductPropertyValue,FK_ProductPropertyValue_ProductProperty,ProductPropertyValueId
RAW_RawData,PK_RAW_RawData,FK_RAW_RawData_CSE_ClientSensors,RAW_cId
RawMeasure,PK_RawMeasure,FK_RawMeasure_USE_Users,RawMeasureId
REG_Regions,PK_REG_Regions,FK_REG_Regions_COU_Countries,REG_cCode
SAN_Sanitations,PK_SAN_Sanitations,FK_SAN_Sanitations_PLI_ProductionLines,SAN_cID
SCT_SchedulerTasks,PK_SCT_SchedulerTasks,FK_SCT_SchedulerTasks_TSK_Task,SCT_cID
SDE_StandardDefinitions,PK_SDE_StandardDefinitions,FK_SDE_StandardDefinitions_SDT_StandardDefTemplates,SDE_cID
SDT_StandardDefTemplates,PK_SDT_StandardDefTemplates,NULL,SDT_cID
StandardDefinition,PK_StandardDefinition_1,FK_StandardDefinition_FieldType,StandardDefinitionId
StandardDefinition,PK_StandardDefinition_1,FK_StandardDefinition_PLI_ProductionLines,StandardDefinitionId
StandardValue,PK_StandardValue_1,FK_StandardValue_StandardDefinition,StandardValueId
StandardValue,PK_StandardValue_1,FK_StandardValue_PRD_Products,StandardValueId
STD_Standards,PK_STD_Standards,FK_STD_Standards_PRD_Products,STD_cID
STD_Standards,PK_STD_Standards,FK_STD_Standards_SDE_StandardDefinitions,STD_cID
STR_StringResources,PK_STR_StringResources,NULL,STR_cID
Subscription,PK_Subscription,FK_Subscription_Event,SubscriptionId
sysdiagrams,PK__sysdiagr__C2B05B6114F1071C,NULL,diagram_id
Tourney,PK_Tourney_2,FK_Tourney_Kit,TourneyId
Tourney,PK_Tourney_2,FK_Tourney_PLI_ProductionLines,TourneyId
Tourney,PK_Tourney_2,FK_Tourney_TourneyTemplate,TourneyId
TourneyProduct,PK_TourneyProduct_1,FK_TourneyProduct_PLI_ProductionLines,TourneyProductId
TourneyProduct,PK_TourneyProduct_1,FK_TourneyProduct_PRD_Products,TourneyProductId
TourneyProduct,PK_TourneyProduct_1,FK_TourneyProduct_Tourney,TourneyProductId
TourneyProduct,PK_TourneyProduct_1,FK_TourneyProduct_TourneyVariance,TourneyProductId
TourneyProduct,PK_TourneyProduct_1,FK_TourneyProduct_TourneyVarianceInstance,TourneyProductId
TourneyProduct,PK_TourneyProduct_1,FK_TourneyProduct_ActionPlanProjects,TourneyProductId
TourneyTemplate,PK_TourneyTemplate_2,FK_TourneyTemplate_PLI_ProductionLines,TourneyTemplateId
TourneyValue,PK_TourneyValue_2,FK_TourneyValue_TourneyValueType,TourneyValueId
TourneyValue,PK_TourneyValue_2,FK_TourneyValue_TourneyProduct,TourneyValueId
TourneyValueType,PK_TourneyValueType,NULL,TourneyValueTypeId
TourneyVariance,PK_TourneyVariance_1,FK_TourneyVariance_Kit,TourneyVarianceId
TourneyVariance,PK_TourneyVariance_1,FK_TourneyVariance_KitTemplate,TourneyVarianceId
TourneyVariance,PK_TourneyVariance_1,FK_TourneyVariance_TourneyTemplate,TourneyVarianceId
TourneyVariance,PK_TourneyVariance_1,FK_TourneyVariance_TourneyVarianceResponsible,TourneyVarianceId
